DATASET,RFPCT,PSt,RFDTBR,EBRJ48,TREMLC
ABPM,0.9580143972345154,0.9308723812418088,0.9685749017075348,0.976058424661437,0.9760869152310584
ARABIC200,0.9589177834844298,0.981452170203722,0.9701017402154952,0.9748712757590456,0.9184042758592672
BIBTEX,0.9093840049826876,0.904576755545874,0.9121621452355314,0.897941239258076,0.7604496354110127
BIRDS,0.920893198579623,0.8499491259218792,0.9049863425293636,0.8781084403168533,0.8872985523081125
CAL500,0.8224240635871646,0.8047479116779416,0.8095014758912877,0.778149629973578,0.7348316075944845
CHD_49,0.7861820807387094,0.7571448910342676,0.7878803800665082,0.7739160206236589,0.7922007044043919
COREL5K,0.8135632707678596,0.7679063156926489,0.8346836961600368,0.866786231769431,0.6043435184595174
DELICIOUS,0.7952895561715636,0.5573984525587438,0.857370193642566,0.877278245202055,0.6630661112269871
EMOTIONS,0.8833794162274111,0.8524064978678422,0.8793667886754734,0.844642818619167,0.8829479508992456
ENRON,0.9166787646350752,0.890451771759694,0.9137014972075392,0.9097928827409436,0.8672458432120773
FLAGS,0.8742854057410518,0.7767057457765538,0.8573983706913424,0.8274714668502507,0.8581543051140313
FOODTRUCK,0.8214620570595151,0.8091074537951445,0.8143503468686151,0.7857174748219946,0.8224995801008184
GENBASE,0.9878516960103874,0.980725976614678,0.9884722693955464,0.9802253855837756,0.9882779777282305
GNEGATIVEGO,0.9960409395126464,0.9940971537075556,0.995346429923109,0.993919887170496,0.9882779777282305
GNEGATIVEPSEACC,0.9365945416139664,0.935793283927295,0.9228285657907932,0.8965242172614908,0.9268290316006716
GPOSITIVEGO,0.993852018596654,0.9893499089397416,0.9908147913532346,0.9885354569415066,0.7508003122065994
GPOSITIVEPSEAAC,0.8667296358720858,0.8837652568351753,0.8554687058131512,0.8341063086094361,0.6219359071524722
HUMANGO,0.9834920622938534,0.9797070174272506,0.9780054520971792,0.9791282286863884,0.9795771538026083
HUMANPSEAAC,0.8547545407967856,0.8483348956417832,0.8355873095218889,0.8110134973086565,0.8368868093934007
LANGLOG,0.8421410666666667,0.8241785777777777,0.8424700148148148,0.8062010518518519,0.6978026814814815
MEDICAL,0.9739998005596566,0.9485203280283834,0.9744138228064316,0.9532751856650928,0.936397495616595
NG20,0.9490105163372096,0.9510572370337698,0.9468612598255643,0.9267498804499252,0.9242936564891104
OHSUMED,0.894469189658727,0.895093098822362,0.889820549945982,0.8822702228442025,0.8773058503636302
PLANTGO,0.9729917040861866,0.971959993475217,0.9609245816231308,0.979154229144086,0.9653101797378992
PLANTPSEAAC,0.8321536834801272,0.838908241513021,0.8177349894800295,0.7741712987381831,0.8263269197807739
PROTEINS_HUMAN,0.9398461528554746,0.9031908042807726,0.8898428754601118,0.9756285794357136,0.9811215034598588
PROTEINS_PLANT,0.9166741222698352,0.8628037153855198,0.8676692959272873,0.9584283735219994,0.9802478286873972
PROTEINS_VIRUS,0.9126788465771516,0.8151441778560422,0.8518159806295399,0.945608628659476,0.9773057451023552
REUTERSK500,0.9222431713853974,0.9586885973455888,0.935052638541784,0.9364791679746014,0.7723871796427617
SCENE,0.9552034945101352,0.9582482415276604,0.9521489529996304,0.930360845617346,0.9552102991052576
SLASHDOT,0.8900420959576201,0.9161407728456212,0.9050823225824194,0.8818071444589218,0.7777902724810395
STACKEX_CHESS,0.8530120679986039,0.7972157387951648,0.8517476381511434,0.8623463863201265,0.8522050220744537
STACKEX_CS,0.8872609250649881,0.8801525126925712,0.8884041320907597,0.9050664609143244,0.7340530903488796
STACKEX_PHILOSOPHY,0.8280913597295454,0.8200327114977084,0.8337933441632357,0.866948431475207,0.6695639804277542
TMC2007_500,0.967492332158451,0.960950588994824,0.9740406254530352,0.9635213044349092,0.9631477790718096
VIRUSGO,0.9887887887887888,0.9793793793793794,0.9833633633633634,0.9857257257257256,0.9876476476476476
VIRUS_PSEAAC,0.8214214214214215,0.8198998998998999,0.8056456456456457,0.7725925925925926,0.7969769769769771
WATER_QUALITY,0.773785096756882,0.7234947454853824,0.7749195602597335,0.7461859179406846,0.7672322406138841
YEAST,0.8517569367423455,0.8431117894740068,0.852168778506345,0.8269791445542011,0.8492539235208183
YELP,0.9330521015010984,0.8743480221977475,0.9425364292067206,0.9178886769579692,0.9365064409145486
