DATASET,RFPCT,RFDTBR,RSMLCC,PSt,Ada300
ABPM,0.9327739475887624,0.95423636719933,0.9557550816810076,0.8881923289330699,0.9639320898580158
ARABIC200,0.6871768513230534,0.6794555492099752,0.7022088058524382,0.6759723695303363,0.5200418808300018
BIBTEX,0.3913028941347785,0.403721230994693,0.3886477831541086,0.4048457996237747,0.3619192580259605
BIRDS,0.2529064039408867,0.2609232721301687,0.2078215654077723,0.2381855500821018,0.2675944170771757
CAL500,0.4790615877380019,0.4616280577070005,0.4647336032517183,0.4508052756879596,0.4709772676705488
CHD_49,0.6072859744990892,0.6147844565877353,0.6200667880995749,0.6040463179807443,0.5576285887761298
COREL5K,0.2409737990526167,0.2325345549360327,0.2270196060097538,0.1184545312377824,0.1440197186502605
DELICIOUS,0.3322404638882284,0.3622960903026576,0.3200763645899788,0.086140287806826,0.1747318841217009
EMOTIONS,0.6787654320987654,0.6859259259259259,0.6353615520282188,0.6545061728395061,0.6151851851851852
ENRON,0.5961506842140645,0.5907304428058363,0.5125168806154721,0.5421766960830755,0.4900935449526998
FLAGS,0.7556690279417553,0.7255211455211455,0.6921177307540942,0.6746025186934279,0.7019066287248106
FOODTRUCK,0.5818982387475538,0.5744618395303327,0.5544085670797999,0.5796096977603827,0.4504240052185257
GENBASE,0.985450394354504,0.98969341161122,0.9787520698479604,0.9752446183953034,0.9878995433789955
GNEGATIVEGO,0.9586056644880174,0.9506172839506174,0.9607843137254902,0.9549745824255628,0.9494553376906318
GNEGATIVEPSEACC,0.6408859840232388,0.6477124183006536,0.621278140885984,0.659041394335512,0.5522875816993464
GPOSITIVEGO,0.9161793372319688,0.9083820662768032,0.9317738791423004,0.9376218323586744,0.953216374269006
GPOSITIVEPSEAAC,0.6393762183235867,0.6393762183235868,0.5867446393762183,0.7076023391812866,0.6530214424951266
HUMANGO,0.787309337797619,0.77373046875,0.7780924479166665,0.79765625,0.70673828125
HUMANPSEAAC,0.36337890625,0.38203125,0.3612630208333333,0.39619140625,0.2296223958333333
LANGLOG,0.1639968774395003,0.208417026025512,0.2005815768930522,0.2176502732240436,0.1591881342701014
MEDICAL,0.7866780045351474,0.7741269841269841,0.7850000000000001,0.7611111111111112,0.8007142857142856
NG20,0.6215526881720429,0.6487435582338807,0.7048067588325653,0.6150132104454684,0.5634623655913978
OHSUMED,0.5361315484706043,0.5219842379445384,0.5033924210426357,0.4977193893771147,0.378632740649908
PLANTGO,0.7908902691511387,0.7462732919254658,0.7877846790890269,0.755175983436853,0.7543478260869565
PLANTPSEAAC,0.3342650103519669,0.3338509316770186,0.3260869565217391,0.4006211180124223,0.1894409937888198
PROTEINS_HUMAN,0.7152407667134175,0.5690576370800775,0.945488546049556,0.6104254324450679,0.8939624657717223
PROTEINS_PLANT,0.621875,0.4032021604938272,0.9700231481481482,0.4664351851851851,0.8969907407407409
PROTEINS_VIRUS,0.618279569892473,0.5247311827956987,0.964516129032258,0.4274193548387096,0.8844086021505375
REUTERSK500,0.5128123101708792,0.5219483372977549,0.5114825159126323,0.4996124184560124,0.4232747008953331
SCENE,0.7574652777777778,0.7308680555555555,0.7022569444444444,0.7763888888888888,0.6987847222222221
SLASHDOT,0.5096276712932364,0.5344254555754886,0.5401850627891606,0.5346552103987662,0.4585591539986781
STACKEX_CHESS,0.2948592120980181,0.3157266380606338,0.2622122073614611,0.3061730309491504,0.3046350498589305
STACKEX_CS,0.340211269912642,0.3638076930257407,0.3367584422870944,0.3667996502944041,0.2655664023299213
STACKEX_PHILOSOPHY,0.2880114479926156,0.3288337016200389,0.2722594591709469,0.2986732629858806,0.2421417112565888
TMC2007_500,0.7395214206180366,0.7856119621474709,0.7296667194067299,0.6930820957866849,0.4924074737763448
VIRUSGO,0.9142156862745098,0.875,0.8848039215686274,0.8588235294117647,0.8357843137254901
VIRUS_PSEAAC,0.4558823529411764,0.4485294117647059,0.3990196078431372,0.5147058823529411,0.4411764705882353
WATER_QUALITY,0.599808704315832,0.5944436933053235,0.5609099394232947,0.5456112825602831,0.4935658106032107
YEAST,0.6675734641091415,0.6574828825087357,0.6437653609713955,0.6514571139669989,0.5688149492699648
YELP,0.7409661835748793,0.7662557047129277,0.69933413477593,0.6239090362652776,0.5687664462699527
