DATASET,CLR_vs_Ada300,CLR_vs_Ada300_cost,CLR_vs_RFDTBR,CLR_vs_RFDTBR_cost,CLR_vs_CC,CLR_vs_CC_cost,CLR_vs_RSMLCC,CLR_vs_RSMLCC_cost,Ada300_vs_RFDTBR,Ada300_vs_RFDTBR_cost,Ada300_vs_CC,Ada300_vs_CC_cost,Ada300_vs_RSMLCC,Ada300_vs_RSMLCC_cost,RFDTBR_vs_CC,RFDTBR_vs_CC_cost,RFDTBR_vs_RSMLCC,RFDTBR_vs_RSMLCC_cost,CC_vs_RSMLCC,CC_vs_RSMLCC_cost
ABPM,1,0.09063402817689492,1,0.025958294563521722,1,0.024112979996968154,1,0.05688420083616863,0,0.0646757336133732,0,0.06652104817992677,0,0.03374982734072629,0,0.0018453145665535686,1,0.030925906272646908,1,0.03277122083920048
ARABIC200,0,0.11007401224705371,0,0.018497561742168545,0,0.042957219780630385,0,0.010930567922678214,1,0.09157645050488517,1,0.06711679246642333,1,0.0991434443243755,0,0.02445965803846184,1,0.007566993819490331,1,0.03202665185795217
BIBTEX,0,0.06903627589795946,0,0.023589296197347565,1,0.015141111105819227,0,0.046733904841233076,1,0.0454469797006119,1,0.08417738700377869,1,0.02230237105672639,1,0.03873040730316679,0,0.02314460864388551,0,0.0618750159470523
BIRDS,1,0.14194572365650782,1,0.14121348321011273,0,0.0038574712848947756,1,0.07791476648260603,0,0.0007322404463950827,0,0.1458031949414026,0,0.06403095717390178,0,0.1450709544950075,0,0.0632987167275067,1,0.08177223776750081
CAL500,1,0.024939592657305498,1,0.01582507399566141,0,0.016796033946729405,0,0.020819118554203292,0,0.009114518661644089,0,0.0417356266040349,0,0.04575871121150879,0,0.032621107942390815,0,0.0366441925498647,0,0.004023084607473887
CHD_49,0,0.12075038879231875,0,0.11496878139064204,0,0.07683607286479688,0,0.11228223205873245,1,0.005781607401676714,1,0.043914315927521874,1,0.008468156733586307,1,0.03813270852584516,1,0.0026865493319095934,0,0.03544615919393557
COREL5K,0,0.030435529780948704,0,0.020219273449894708,0,0.06022055322708131,0,0.03397689743001161,1,0.010216256331053997,0,0.029785023446132604,0,0.0035413676490629042,0,0.0400012797771866,0,0.013757623980116901,1,0.0262436557970697
DELICIOUS,0,0.3139517916978413,0,0.27246619593905375,0,0.3629696924567005,0,0.330646506354388,1,0.0414855957587876,0,0.0490179007588592,0,0.016694714656546705,0,0.0905034965176468,0,0.05818031041533431,1,0.032323186102312496
EMOTIONS,0,0.024289851744251245,1,0.02672415696523245,1,0.008940927041350633,0,0.016449145940127696,1,0.051014008709483694,1,0.03323077878560188,1,0.007840705804123549,0,0.017783229923881816,0,0.043173302905360145,0,0.02539007298147833
ENRON,0,0.01977958687920159,0,0.0219240534473239,0,0.002248661574198396,0,0.12176170592809579,0,0.0021444665681223107,1,0.017530925305003192,0,0.1019821190488942,1,0.019675391873125503,0,0.0998376524807719,0,0.1195130443538974
FLAGS,1,0.07538910828055423,1,0.10150049435899289,1,0.09808786909110201,1,0.07704221729924798,1,0.02611138607843866,1,0.02269876081054778,1,0.0016531090186937547,0,0.0034126252678908786,0,0.024458277059744904,0,0.021045651791854025
FOODTRUCK,0,0.04392595847576572,1,0.002457917403724197,0,0.1121468845100404,0,0.1762903977196411,1,0.046383875879489916,0,0.06822092603427468,0,0.1323644392438754,0,0.1146048019137646,0,0.1787483151233653,0,0.06414351320960071
GENBASE,1,0.12060663513471148,1,0.12160763613571246,1,0.12308489687223245,1,0.08870452513736338,1,0.0010010010010009784,1,0.0024782617375209703,0,0.031902109997348105,1,0.001477260736519992,0,0.03290311099834908,0,0.034380371734869075
GNEGATIVEGO,1,0.018451266856306048,0,0.0430483243640476,1,0.005798301318479582,1,0.02401458143446278,0,0.061499591220353644,0,0.012652965537826466,1,0.005563314578156731,1,0.04884662568252718,1,0.06706290579851037,1,0.018216280115983197
GNEGATIVEPSEACC,0,0.05120514543546778,0,0.07204621868328881,1,0.01994660823223654,0,0.10484408346364377,0,0.02084107324782103,1,0.07115175366770432,0,0.053638938028175986,1,0.09199282691552535,0,0.03279786478035496,0,0.12479069169588031
GPOSITIVEGO,1,0.15525395166174938,1,0.013167910179144982,1,0.05588030816285994,0,0.05144161423327698,0,0.1420860414826044,0,0.09937364349888944,0,0.20669556589502636,1,0.042712397983714956,0,0.06460952441242196,0,0.10732192239613692
GPOSITIVEPSEAAC,0,0.04710593978685418,0,0.03253767360818527,1,0.08134788141730875,0,0.09636494788171818,1,0.01456826617866891,1,0.12845382120416293,0,0.049259008094864,1,0.11388555502549402,0,0.06382727427353291,0,0.17771282929902693
HUMANGO,0,0.05688269874339302,0,0.12917527905016357,0,0.06533132164337985,0,0.0998095012608039,0,0.07229258030677055,0,0.008448622899986824,0,0.04292680251741088,1,0.06384395740678372,1,0.02936577778935967,0,0.034478179617424054
HUMANPSEAAC,0,0.09512323955243632,0,0.053006297825242715,0,0.06990720268826581,0,0.0769534923155791,1,0.0421169417271936,1,0.02521603686417051,1,0.018169747236857214,0,0.016900904863023092,0,0.023947194490336388,0,0.007046289627313296
LANGLOG,0,0.017624835175010692,0,0.017308173984289493,0,0.015612020502882393,0,0.012615849085053601,1,0.0003166611907211986,1,0.002012814672128299,1,0.00500898608995709,1,0.0016961534814071005,1,0.004692324899235892,1,0.0029961714178287913
MEDICAL,1,0.0570356237184389,0,0.006978848622968825,1,0.011972651490786801,0,0.027162191427874793,0,0.06401447234140772,0,0.0450629722276521,0,0.08419781514631369,1,0.018951500113755626,0,0.020183342804905968,0,0.039134842918661594
NG20,1,0.05136299666033339,1,0.0839656120682738,1,0.05313941336800332,1,0.12127360944820964,1,0.032602615407940405,1,0.0017764167076699255,1,0.06991061278787625,0,0.03082619870027048,1,0.03730799737993584,1,0.06813419608020632
OHSUMED,0,0.10623870266177471,0,0.04184180584346758,0,0.04952867411157269,0,0.04573239821054881,1,0.06439689681830713,1,0.05671002855020202,1,0.0605063044512259,0,0.007686868268105107,0,0.003890592367081225,1,0.0037962759010238822
PLANTGO,1,0.0180915951901941,0,0.059439672612822014,0,0.07812810702236284,1,0.0035103912394963688,0,0.07753126780301611,0,0.09621970221255693,0,0.01458120395069773,0,0.01868843440954082,1,0.06295006385231838,1,0.0816384982618592
PLANTPSEAAC,0,0.1562816769978722,0,0.1209719659384651,0,0.23456177052988159,0,0.1533388739667116,1,0.0353097110594071,0,0.0782800935320094,1,0.0029428030311606096,0,0.1135898045914165,0,0.03236690802824649,1,0.08122289656317001
PROTEINS_HUMAN,1,0.3347500618118844,0,0.09029657647557338,0,0.0895531412767897,1,0.45457072370615115,0,0.42504663828745776,0,0.4243032030886741,1,0.11982066189426677,1,0.0007434351987836707,1,0.5448673001817246,1,0.5441238649829409
PROTEINS_PLANT,1,0.34603400295255055,0,0.1331612335569987,0,0.050382971706356305,1,0.5413834035405714,0,0.4791952365095492,0,0.39641697465890685,1,0.19534940058802086,1,0.08277826185064238,1,0.6745446370975701,1,0.5917663752469278
PROTEINS_VIRUS,1,0.1931412581405938,1,0.009658710840156792,0,0.1405131611486421,1,0.39679215067905294,0,0.183482547300437,0,0.3336544192892359,1,0.20365089253845914,0,0.1501718719887989,1,0.38713343983889614,1,0.537305311827695
REUTERSK500,0,0.027819004093870392,1,0.005873327266469774,1,0.0048721196739379136,0,0.026881961023607015,1,0.033692331360340166,1,0.032691123767808306,1,0.000937043070263377,0,0.0010012075925318609,0,0.03275528829007679,0,0.03175408069754493
SCENE,0,0.0339472283929898,0,0.028991347800244482,0,0.024661266766731527,0,0.08292253319790432,1,0.004955880592745321,1,0.009285961626258277,0,0.04897530480491452,1,0.004330081033512956,0,0.05393118539765984,0,0.0582612664311728
SLASHDOT,1,0.005899433603579807,0,0.016391789611110985,1,0.00901963760243818,1,0.006578029219037107,0,0.022291223214690792,1,0.003120203998858373,1,0.0006785956154573003,1,0.025411427213549165,1,0.022969818830148092,0,0.0024416083834010727
STACKEX_CHESS,1,0.026526986722899798,0,0.0061285139364948005,0,0.003433878364726306,0,0.0115311569922356,0,0.0326555006593946,0,0.029960865087626104,0,0.0380581437151354,1,0.0026946355717684944,0,0.0054026430557407995,0,0.008097278627509294
STACKEX_CS,1,0.015740029798269592,1,0.0034169808004477914,0,0.03670487573945151,0,0.010322978535167102,0,0.0123230489978218,0,0.052444905537721104,0,0.026063008333436694,0,0.0401218565398993,0,0.013739959335614893,1,0.02638189720428441
STACKEX_PHILOSOPHY,1,0.0793113283012502,1,0.061668443119213295,1,0.060827765008655596,1,0.0533656182891511,0,0.01764288518203691,0,0.01848356329259461,0,0.025945710012099103,0,0.0008406781105576994,0,0.008302824830062193,0,0.0074621467195044935
TMC2007_500,0,0.07643982857961373,1,0.05335197625306454,0,0.0850149531945622,0,0.061376660015051376,1,0.12979180483267827,0,0.00857512461494847,1,0.015063168564562357,0,0.13836692944762674,0,0.11472863626811591,1,0.023638293179510828
VIRUSGO,1,0.1703201488884114,1,0.11592789155289152,1,0.23643786758398144,1,0.08387539478341366,0,0.05439225733551989,1,0.06611771869557004,0,0.08644475410499775,1,0.12050997603108993,0,0.032052496769477856,0,0.15256247280056778
VIRUS_PSEAAC,0,0.18200806757935167,0,0.12057213790339821,0,0.0976507014444919,0,0.06759988330302769,1,0.06143592967595346,1,0.08435736613485978,1,0.11440818427632399,1,0.02292143645890632,1,0.05297225460037053,1,0.03005081814146421
WATER_QUALITY,0,0.046070281456289275,1,0.052416861994305064,0,0.1352702416502773,0,0.006980846694188303,1,0.09848714345059434,0,0.08919996019398801,1,0.03908943476210097,0,0.18768710364458235,0,0.05939770868849337,1,0.128289394956089
YEAST,0,0.08312064083654247,0,0.067511278711335,0,0.11968657456998649,0,0.07669102846296877,1,0.015609362125207471,0,0.03656593373344402,1,0.006429612373573701,0,0.052175295858651494,0,0.00917974975163377,1,0.042995546107017724
YELP,1,0.007142122480603752,1,0.1403664260556612,1,0.10827914021316354,1,0.0719993261065951,1,0.13322430357505743,1,0.10113701773255979,1,0.06485720362599134,0,0.03208728584249765,0,0.06836709994906609,0,0.03627981410656844
