fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,3.3219390430062305e-05,0.000729408820537564,0.0003833034604924744,0.000229846033856416
1,3.7270374685693226e-05,5.327813150261391e-05,0.0003828085227493476,0.000249643543581485
2,3.621116330157339e-05,1.1280144053915032e-06,0.00038776124577696093,5.153462247695217e-05
3,3.742843991478127e-05,5.348465855282557e-06,0.00038545840384276075,0.0001436482998449612
4,3.762131548706678e-05,0.000451159880123139,0.0003870584220512382,7.964757150586164e-05
5,3.706876679924261e-05,3.817870100727361e-05,0.0003881281146611797,3.685986710820359e-05
6,3.654154334876336e-05,0.00021690297030481855,0.000372160838812313,0.0006755509010628669
7,2.552392027438219e-05,0.0032451768531376575,0.00027344336894271097,0.004624249695846954
8,3.352380403648609e-05,2.3708163423972557e-07,0.00038904846780970066,4.5741167365675945e-08
9,3.3703754334673636e-05,3.805070759618596e-05,0.00038900892099485936,1.6276137610174304e-06
10,3.520226680082648e-05,8.13960814222731e-05,0.00038483068752204723,0.00016875695267350087
11,3.355575622402517e-05,0.0004625857133068632,0.00038882987897426375,8.789294584844843e-06
12,2.9212686166083575e-05,0.0022012384920748747,0.00038843311401997536,2.4659892756376016e-05
13,3.0445441272083544e-05,0.00020980050952799375,0.00038872253149800146,1.3083193635332064e-05
14,3.0045284040909555e-05,3.193891345297151e-05,0.0003866537230998229,9.583552956247515e-05
15,3.122905760987388e-05,2.5310823245739872e-05,0.0003890127492939459,1.4744817975524084e-06
16,3.098226396579462e-05,2.6693449289011663e-06,0.000387746298607294,5.213250926363071e-05
17,3.133571285950506e-05,4.35567148497172e-05,0.00038900749738965336,1.6845579692601198e-06
18,2.7808494245335822e-05,0.00023913080529669513,0.0003831749165947806,0.0002349877897641654
19,2.9003032254179704e-05,8.290705708751179e-07,0.0003885051427826117,2.1778742250925027e-05
20,2.9154525393788184e-05,1.6366469491728152e-08,0.00038848459238044166,2.2600758337723946e-05
21,2.9216902457570485e-05,2.2365722592564834e-05,0.0003889367184153761,4.515716940345861e-06
22,2.7575321167689566e-05,9.585504865643513e-05,0.0003890448054157193,1.922369266217348e-07
23,2.8117975696447243e-05,3.4357497505066894e-06,0.0003874306963347198,6.475660016659894e-05
24,2.845599097482074e-05,3.321686747971914e-06,0.00038631483551954153,0.00010939103277373553
25,2.2830613247262683e-05,0.0009188941262284792,0.0003339279032406285,0.002204868323930252
26,2.8520666211786253e-05,0.00016253359270478095,0.00033630595759675576,0.0021097461496851606
27,2.494370136083972e-05,0.0014228851451099527,0.00030467660172600066,0.0033749203845153653
28,2.8777681112432838e-05,5.577318216322284e-05,0.0003814219450821106,0.0003051066502709675
29,2.8027273630730485e-05,0.00011995519143381226,0.00038901381958496376,1.4316701568416587e-06
30,2.8879666648721458e-05,0.0002113415204448016,0.00037929285315912396,0.00039027032719043367
31,2.948702608261856e-05,2.9559854587895903e-06,0.0003888197044497994,9.196275563414663e-06
32,2.9324008661609935e-05,9.511762447872481e-05,0.00038829283673705236,3.0270984073297445e-05
33,2.949831051981543e-05,2.9429313104092e-07,0.00038646003477968644,0.00010358306236793315
34,3.065508187764286e-05,2.5278089423005856e-05,0.0003859994873426502,0.00012200495984938169
35,3.0136621380152195e-05,1.6830373853704226e-05,0.00038901147135126973,1.5255995046023028e-06
36,2.8212112445900485e-05,3.815884813637863e-05,0.00038553851819890153,0.0001404437255993332
37,3.0371971084724705e-05,3.2943367841260726e-05,0.0003882953017036152,3.0172385410784425e-05
38,3.0760051717127214e-05,2.9340637987007845e-05,0.00038848512384877416,2.2579499604425625e-05
39,3.0328545763912194e-05,5.592835456022619e-06,0.0003841096983734627,0.00019759651861688186
