DATASET,RFPCT,RFDTBR,RSMLCC,PSt,Ada300,VBS,VBS_value,SBS_RFPCT,SBS_RFDTBR,SBS_RSMLCC,SBS_PSt,SBS_Ada300,AS-R-MO,AS-R-MO_algo_name,AS-R-SO,AS-R-SO_algo_name,AS-C-SO,AS-C-SO_algo_name,AS-PR-MO,AS-PR-MO_algo_name,AS-PR-SO,AS-PR-SO_algo_name,AS-PC-MO,AS-PC-MO_algo_name,AS-PC-SO,AS-PC-SO_algo_name,AS-CS-PC-SO,AS-CS-PC-SO_algo_name
ABPM,0.9327739475887624,0.95423636719933,0.9557550816810076,0.8881923289330699,0.9639320898580158,['Ada300'],0.9639320898580158,0.031158142269253397,0.00969572265868579,0.008177008177008172,0.07573976092494594,0.0,0.031158142269253397,RFPCT,0.031158142269253397,RFPCT,0.008177008177008172,RSMLCC,0.008177008177008172,RSMLCC,0.031158142269253397,RFPCT,0.031158142269253397,RFPCT,0.031158142269253397,RFPCT,0.031158142269253397,RFPCT
ARABIC200,0.6871768513230534,0.6794555492099752,0.7022088058524382,0.6759723695303363,0.5200418808300018,['RSMLCC'],0.7022088058524382,0.015031954529384772,0.02275325664246297,0.0,0.02623643632210182,0.18216692502243637,0.02275325664246297,RFDTBR,0.02275325664246297,RFDTBR,0.02623643632210182,PSt,0.02275325664246297,RFDTBR,0.02275325664246297,RFDTBR,0.02275325664246297,RFDTBR,0.02275325664246297,RFDTBR,0.02275325664246297,RFDTBR
BIBTEX,0.3913028941347785,0.403721230994693,0.3886477831541086,0.4048457996237747,0.3619192580259605,['PSt'],0.4048457996237747,0.013542905488996226,0.0011245686290817236,0.01619801646966612,0.0,0.04292654159781423,0.0011245686290817236,RFDTBR,0.0011245686290817236,RFDTBR,0.0011245686290817236,RFDTBR,0.0011245686290817236,RFDTBR,0.0011245686290817236,RFDTBR,0.013542905488996226,RFPCT,0.0011245686290817236,RFDTBR,0.0011245686290817236,RFDTBR
BIRDS,0.2529064039408867,0.2609232721301687,0.2078215654077723,0.2381855500821018,0.2675944170771757,['Ada300'],0.2675944170771757,0.01468801313628898,0.006671144947006991,0.05977285166940338,0.02940886699507389,0.0,0.01468801313628898,RFPCT,0.01468801313628898,RFPCT,0.02940886699507389,PSt,0.05977285166940338,RSMLCC,0.05977285166940338,RSMLCC,0.01468801313628898,RFPCT,0.006671144947006991,RFDTBR,0.010679579041647957,"RFDTBR,RFPCT"
CAL500,0.4790615877380019,0.4616280577070005,0.4647336032517183,0.4508052756879596,0.4709772676705488,['RFPCT'],0.4790615877380019,0.0,0.0174335300310014,0.014327984486283585,0.02825631205004231,0.008084320067453077,0.0174335300310014,RFDTBR,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0174335300310014,RFDTBR
CHD_49,0.6072859744990892,0.6147844565877353,0.6200667880995749,0.6040463179807443,0.5576285887761298,['RSMLCC'],0.6200667880995749,0.012780813600485774,0.005282331511839655,0.0,0.016020470118830676,0.06243819932344519,0.012780813600485774,RFPCT,0.005282331511839655,RFDTBR,0.012780813600485774,RFPCT,0.012780813600485774,RFPCT,0.012780813600485774,RFPCT,0.012780813600485774,RFPCT,0.012780813600485774,RFPCT,0.012780813600485774,RFPCT
COREL5K,0.2409737990526167,0.2325345549360327,0.2270196060097538,0.1184545312377824,0.1440197186502605,['RFPCT'],0.2409737990526167,0.0,0.008439244116584005,0.013954193042862911,0.1225192678148343,0.0969540804023562,0.008439244116584005,RFDTBR,0.008439244116584005,RFDTBR,0.008439244116584005,RFDTBR,0.008439244116584005,RFDTBR,0.008439244116584005,RFDTBR,0.008439244116584005,RFDTBR,0.008439244116584005,RFDTBR,0.008439244116584005,RFDTBR
DELICIOUS,0.3322404638882284,0.3622960903026576,0.3200763645899788,0.086140287806826,0.1747318841217009,['RFDTBR'],0.3622960903026576,0.03005562641442916,0.0,0.04221972571267879,0.2761558024958316,0.18756420618095668,0.0,RFDTBR,0.0,RFDTBR,0.03005562641442916,RFPCT,0.0,RFDTBR,0.0,RFDTBR,0.03005562641442916,RFPCT,0.03005562641442916,RFPCT,0.03005562641442916,RFPCT
EMOTIONS,0.6787654320987654,0.6859259259259259,0.6353615520282188,0.6545061728395061,0.6151851851851852,['RFDTBR'],0.6859259259259259,0.007160493827160552,0.0,0.05056437389770718,0.031419753086419866,0.07074074074074077,0.007160493827160552,RFPCT,0.05056437389770718,RSMLCC,0.05056437389770718,RSMLCC,0.007160493827160552,RFPCT,0.007160493827160552,RFPCT,0.007160493827160552,RFPCT,0.007160493827160552,RFPCT,0.007160493827160552,RFPCT
ENRON,0.5961506842140645,0.5907304428058363,0.5125168806154721,0.5421766960830755,0.4900935449526998,['RFPCT'],0.5961506842140645,0.0,0.005420241408228166,0.0836338035985924,0.05397398813098897,0.10605713926136467,0.005420241408228166,RFDTBR,0.005420241408228166,RFDTBR,0.005420241408228166,RFDTBR,0.005420241408228166,RFDTBR,0.005420241408228166,RFDTBR,0.005420241408228166,RFDTBR,0.005420241408228166,RFDTBR,0.005420241408228166,RFDTBR
FLAGS,0.7556690279417553,0.7255211455211455,0.6921177307540942,0.6746025186934279,0.7019066287248106,['RFPCT'],0.7556690279417553,0.0,0.03014788242060973,0.06355129718766106,0.08106650924832737,0.0537623992169447,0.06355129718766106,RSMLCC,0.0537623992169447,Ada300,0.0,RFPCT,0.06355129718766106,RSMLCC,0.06355129718766106,RSMLCC,0.03014788242060973,RFDTBR,0.04195514081877727,"RFDTBR,Ada300",0.02688119960847235,"RFPCT,Ada300"
FOODTRUCK,0.5818982387475538,0.5744618395303327,0.5544085670797999,0.5796096977603827,0.4504240052185257,['RFPCT'],0.5818982387475538,0.0,0.007436399217221057,0.027489671667753846,0.002288540987171017,0.13147423352902804,0.027489671667753846,RSMLCC,0.13147423352902804,Ada300,0.0,RFPCT,0.027489671667753846,RSMLCC,0.027489671667753846,RSMLCC,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT
GENBASE,0.985450394354504,0.98969341161122,0.9787520698479604,0.9752446183953034,0.9878995433789955,['RFDTBR'],0.98969341161122,0.004243017256716053,0.0,0.010941341763259671,0.014448793215916633,0.0017938682322244937,0.010941341763259671,RSMLCC,0.0017938682322244937,Ada300,0.010941341763259671,RSMLCC,0.010941341763259671,RSMLCC,0.010941341763259671,RSMLCC,0.010941341763259671,RSMLCC,0.010941341763259671,RSMLCC,0.010941341763259671,RSMLCC
GNEGATIVEGO,0.9586056644880174,0.9506172839506174,0.9607843137254902,0.9549745824255628,0.9494553376906318,['RSMLCC'],0.9607843137254902,0.002178649237472796,0.010167029774872827,0.0,0.005809731299927456,0.011328976034858385,0.0,RSMLCC,0.0,RSMLCC,0.005809731299927456,PSt,0.0,RSMLCC,0.0,RSMLCC,0.002662793512466677,"RFPCT,PSt,RSMLCC",0.005809731299927456,PSt,0.002662793512466677,"RFPCT,PSt,RSMLCC"
GNEGATIVEPSEACC,0.6408859840232388,0.6477124183006536,0.621278140885984,0.659041394335512,0.5522875816993464,['PSt'],0.659041394335512,0.01815541031227319,0.011328976034858385,0.03776325344952802,0.0,0.10675381263616557,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt
GPOSITIVEGO,0.9161793372319688,0.9083820662768032,0.9317738791423004,0.9376218323586744,0.953216374269006,['Ada300'],0.953216374269006,0.0370370370370372,0.04483430799220278,0.021442495126705596,0.015594541910331605,0.0,0.0370370370370372,RFPCT,0.0370370370370372,RFPCT,0.015594541910331605,PSt,0.015594541910331605,PSt,0.0370370370370372,RFPCT,0.0370370370370372,RFPCT,0.02378167641325557,"RFDTBR,RFPCT,Ada300,PSt,RSMLCC",0.0,Ada300
GPOSITIVEPSEAAC,0.6393762183235867,0.6393762183235868,0.5867446393762183,0.7076023391812866,0.6530214424951266,['PSt'],0.7076023391812866,0.06822612085769986,0.06822612085769975,0.12085769980506822,0.0,0.05458089668615995,0.0,PSt,0.05458089668615995,Ada300,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt,0.02729044834307992,"PSt,Ada300",0.05458089668615995,Ada300
HUMANGO,0.787309337797619,0.77373046875,0.7780924479166665,0.79765625,0.70673828125,['PSt'],0.79765625,0.010346912202380931,0.02392578125,0.019563802083333415,0.0,0.09091796874999991,0.019563802083333415,RSMLCC,0.019563802083333415,RSMLCC,0.019563802083333415,RSMLCC,0.019563802083333415,RSMLCC,0.019563802083333415,RSMLCC,0.010346912202380931,RFPCT,0.019563802083333415,RSMLCC,0.019563802083333415,RSMLCC
HUMANPSEAAC,0.36337890625,0.38203125,0.3612630208333333,0.39619140625,0.2296223958333333,['PSt'],0.39619140625,0.03281249999999997,0.01416015625,0.03492838541666671,0.0,0.1665690104166667,0.0,PSt,0.03281249999999997,RFPCT,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt
LANGLOG,0.1639968774395003,0.208417026025512,0.2005815768930522,0.2176502732240436,0.1591881342701014,['PSt'],0.2176502732240436,0.053653395784543284,0.009233247198531608,0.017068696330991395,0.0,0.0584621389539422,0.009233247198531608,RFDTBR,0.053653395784543284,RFPCT,0.009233247198531608,RFDTBR,0.009233247198531608,RFDTBR,0.020962214327691603,"RFPCT,PSt,RFDTBR",0.009233247198531608,RFDTBR,0.053653395784543284,RFPCT,0.053653395784543284,RFPCT
MEDICAL,0.7866780045351474,0.7741269841269841,0.7850000000000001,0.7611111111111112,0.8007142857142856,['Ada300'],0.8007142857142856,0.014036281179138244,0.026587301587301493,0.01571428571428546,0.03960317460317442,0.0,0.01571428571428546,RSMLCC,0.01571428571428546,RSMLCC,0.026587301587301493,RFDTBR,0.026587301587301493,RFDTBR,0.026587301587301493,RFDTBR,0.026587301587301493,RFDTBR,0.026587301587301493,RFDTBR,0.026587301587301493,RFDTBR
NG20,0.6215526881720429,0.6487435582338807,0.7048067588325653,0.6150132104454684,0.5634623655913978,['RSMLCC'],0.7048067588325653,0.08325407066052237,0.056063200598684526,0.0,0.08979354838709686,0.14134439324116743,0.08325407066052237,RFPCT,0.0,RSMLCC,0.08979354838709686,PSt,0.0,RSMLCC,0.0,RSMLCC,0.05768253968253978,"RFPCT,PSt,RSMLCC",0.04489677419354843,"RSMLCC,PSt",0.05768253968253978,"RFPCT,PSt,RSMLCC"
OHSUMED,0.5361315484706043,0.5219842379445384,0.5033924210426357,0.4977193893771147,0.378632740649908,['RFPCT'],0.5361315484706043,0.0,0.014147310526065882,0.032739127427968584,0.038412159093489606,0.1574988078206963,0.032739127427968584,RSMLCC,0.032739127427968584,RSMLCC,0.014147310526065882,RFDTBR,0.014147310526065882,RFDTBR,0.014147310526065882,RFDTBR,0.014147310526065882,RFDTBR,0.014147310526065882,RFDTBR,0.014147310526065882,RFDTBR
PLANTGO,0.7908902691511387,0.7462732919254658,0.7877846790890269,0.755175983436853,0.7543478260869565,['RFPCT'],0.7908902691511387,0.0,0.04461697722567293,0.0031055900621117516,0.0357142857142857,0.036542443064182195,0.0031055900621117516,RSMLCC,0.0031055900621117516,RSMLCC,0.0031055900621117516,RSMLCC,0.0031055900621117516,RSMLCC,0.0031055900621117516,RSMLCC,0.0,RFPCT,0.0031055900621117516,RSMLCC,0.0031055900621117516,RSMLCC
PLANTPSEAAC,0.3342650103519669,0.3338509316770186,0.3260869565217391,0.4006211180124223,0.1894409937888198,['PSt'],0.4006211180124223,0.06635610766045541,0.06677018633540366,0.0745341614906832,0.0,0.2111801242236025,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt,0.0,PSt
PROTEINS_HUMAN,0.7152407667134175,0.5690576370800775,0.945488546049556,0.6104254324450679,0.8939624657717223,['RSMLCC'],0.945488546049556,0.2302477793361385,0.3764309089694785,0.0,0.33506311360448815,0.051526080277833675,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC
PROTEINS_PLANT,0.621875,0.4032021604938272,0.9700231481481482,0.4664351851851851,0.8969907407407409,['RSMLCC'],0.9700231481481482,0.3481481481481482,0.566820987654321,0.0,0.503587962962963,0.07303240740740724,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC
PROTEINS_VIRUS,0.618279569892473,0.5247311827956987,0.964516129032258,0.4274193548387096,0.8844086021505375,['RSMLCC'],0.964516129032258,0.346236559139785,0.4397849462365593,0.0,0.5370967741935484,0.08010752688172051,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC,0.0,RSMLCC
REUTERSK500,0.5128123101708792,0.5219483372977549,0.5114825159126323,0.4996124184560124,0.4232747008953331,['RFDTBR'],0.5219483372977549,0.009136027126875668,0.0,0.010465821385122642,0.02233591884174252,0.09867363640242183,0.0,RFDTBR,0.0,RFDTBR,0.02233591884174252,PSt,0.0,RFDTBR,0.010933913408954998,"RFDTBR,RSMLCC,PSt",0.01049064865620608,"RFPCT,PSt,RFDTBR",0.0,RFDTBR,0.0,RFDTBR
SCENE,0.7574652777777778,0.7308680555555555,0.7022569444444444,0.7763888888888888,0.6987847222222221,['PSt'],0.7763888888888888,0.01892361111111096,0.045520833333333344,0.07413194444444438,0.0,0.0776041666666667,0.0,PSt,0.0,PSt,0.0,PSt,0.01892361111111096,RFPCT,0.07413194444444438,RSMLCC,0.0,PSt,0.021481481481481546,"RFDTBR,RFPCT,PSt",0.0,PSt
SLASHDOT,0.5096276712932364,0.5344254555754886,0.5401850627891606,0.5346552103987662,0.4585591539986781,['RSMLCC'],0.5401850627891606,0.03055739149592418,0.005759607213671969,0.0,0.005529852390394385,0.08162590879048248,0.005759607213671969,RFDTBR,0.005529852390394385,PSt,0.005529852390394385,PSt,0.005529852390394385,PSt,0.0,RSMLCC,0.03055739149592418,RFPCT,0.005644729802033122,"RFDTBR,PSt",0.015278695747962145,"RFPCT,RSMLCC"
STACKEX_CHESS,0.2948592120980181,0.3157266380606338,0.2622122073614611,0.3061730309491504,0.3046350498589305,['RFDTBR'],0.3157266380606338,0.020867425962615704,0.0,0.053514430699172666,0.009553607111483398,0.011091588201703306,0.0,RFDTBR,0.053514430699172666,RSMLCC,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR
STACKEX_CS,0.340211269912642,0.3638076930257407,0.3367584422870944,0.3667996502944041,0.2655664023299213,['PSt'],0.3667996502944041,0.02658838038176209,0.0029919572686634144,0.030041208007309694,0.0,0.1012332479644828,0.0029919572686634144,RFDTBR,0.0029919572686634144,RFDTBR,0.0029919572686634144,RFDTBR,0.0029919572686634144,RFDTBR,0.0029919572686634144,RFDTBR,0.0029919572686634144,RFDTBR,0.0029919572686634144,RFDTBR,0.0029919572686634144,RFDTBR
STACKEX_PHILOSOPHY,0.2880114479926156,0.3288337016200389,0.2722594591709469,0.2986732629858806,0.2421417112565888,['RFDTBR'],0.3288337016200389,0.04082225362742331,0.0,0.05657424244909198,0.030160438634158293,0.0866919903634501,0.0,RFDTBR,0.0,RFDTBR,0.030160438634158293,PSt,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR
TMC2007_500,0.7395214206180366,0.7856119621474709,0.7296667194067299,0.6930820957866849,0.4924074737763448,['RFDTBR'],0.7856119621474709,0.04609054152943426,0.0,0.055945242740740975,0.09252986636078597,0.29320448837112606,0.04609054152943426,RFPCT,0.04609054152943426,RFPCT,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.04609054152943426,RFPCT,0.04609054152943426,RFPCT
VIRUSGO,0.9142156862745098,0.875,0.8848039215686274,0.8588235294117647,0.8357843137254901,['RFPCT'],0.9142156862745098,0.0,0.039215686274509776,0.02941176470588236,0.05539215686274512,0.07843137254901966,0.05539215686274512,PSt,0.0,RFPCT,0.05539215686274512,PSt,0.05539215686274512,PSt,0.05539215686274512,PSt,0.05539215686274512,PSt,0.05539215686274512,PSt,0.05539215686274512,PSt
VIRUS_PSEAAC,0.4558823529411764,0.4485294117647059,0.3990196078431372,0.5147058823529411,0.4411764705882353,['PSt'],0.5147058823529411,0.05882352941176472,0.06617647058823523,0.1156862745098039,0.0,0.07352941176470584,0.1156862745098039,RSMLCC,0.1156862745098039,RSMLCC,0.05882352941176472,RFPCT,0.05882352941176472,RFPCT,0.05882352941176472,RFPCT,0.05882352941176472,RFPCT,0.05882352941176472,RFPCT,0.05882352941176472,RFPCT
WATER_QUALITY,0.599808704315832,0.5944436933053235,0.5609099394232947,0.5456112825602831,0.4935658106032107,['RFPCT'],0.599808704315832,0.0,0.005365011010508458,0.038898764892537296,0.05419742175554887,0.1062428937126213,0.0,RFPCT,0.005365011010508458,RFDTBR,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT
YEAST,0.6675734641091415,0.6574828825087357,0.6437653609713955,0.6514571139669989,0.5688149492699648,['RFPCT'],0.6675734641091415,0.0,0.010090581600405879,0.02380810313774606,0.016116350142142633,0.09875851483917675,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.011299561579383943,"RFDTBR,RFPCT,RSMLCC",0.0,RFPCT,0.011299561579383943,"RFDTBR,RFPCT,RSMLCC",0.010090581600405879,RFDTBR
YELP,0.7409661835748793,0.7662557047129277,0.69933413477593,0.6239090362652776,0.5687664462699527,['RFDTBR'],0.7662557047129277,0.025289521138048388,0.0,0.06692156993699772,0.1423466684476501,0.19748925844297505,0.025289521138048388,RFPCT,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.025289521138048388,RFPCT,0.0,RFDTBR,0.025289521138048388,RFPCT,0.025289521138048388,RFPCT
